Samples,Pt_wt,Pt_size,Surface_area,N_doped,pH,Current_Density,Overpotential
3Pt@NMC,13.3,1.03,516.3,10.4,14,10,21.6
3Pt@NMC,13.3,1.03,516.3,10.4,14,20,46.3
3Pt@NMC,13.3,1.03,516.3,10.4,14,40,87.6
3Pt@NMC,13.3,1.03,516.3,10.4,14,50,106.9
3Pt@NMC,13.3,1.03,516.3,10.4,14,100,190.3
