Samples,Pt_wt,Pt_size,Surface_area,N_doped,pH,Current_Density,Overpotential
Pt/C Control-1,11.6,1,488.9,8.2,14,10,28.9
Pt/C Control-1,11.6,1,488.9,8.2,14,20,53.6
Pt/C Control-1,11.6,1,488.9,8.2,14,40,97.6
Pt/C Control-1,11.6,1,488.9,8.2,14,50,118.3
Pt/C Control-1,11.6,1,488.9,8.2,14,100,217.6
