Samples,Pt_wt,Pt_size,Surface_area,N_doped,pH,Current_Density,Overpotential
5Pt@NMC,21,1.07,597.6,5.7,14,10,23.6
5Pt@NMC,21,1.07,597.6,5.7,14,20,44.3
5Pt@NMC,21,1.07,597.6,5.7,14,40,83.6
5Pt@NMC,21,1.07,597.6,5.7,14,50,102.3
5Pt@NMC,21,1.07,597.6,5.7,14,100,183.6
