iter	RMSE
0	136.2277958
1	129.6528888
2	123.6575887
3	117.9600595
4	113.8571433
5	110.6620531
6	107.8678696
7	105.7036837
8	104.0008738
9	102.7011828
10	100.2991996
11	98.72640964
12	96.4746901
13	95.69176349
14	94.7486207
15	93.40316766
16	92.59192628
17	91.46807102
18	90.79997276
19	89.00106225
20	88.31951153
21	87.81154107
22	86.4079723
23	85.23514045
24	84.31390853
25	83.63093347
26	82.71611865
27	81.43596378
28	80.83821987
29	80.28200531
30	79.66083451
31	79.01425023
32	78.62241768
33	76.57536514
34	76.06761469
35	75.17729477
36	73.94463463
37	73.50035152
38	73.29578318
39	72.99735359
40	72.53190112
41	71.08278615
42	70.61571366
43	69.85376255
44	69.10335898
45	68.15222745
46	67.63756955
47	67.35677631
48	66.45327113
49	66.27301312
50	66.01389511
51	65.23361414
52	64.66059763
53	63.90494044
54	63.5709295
55	63.2250157
56	62.69265729
57	62.15779285
58	61.56038362
59	61.07549918
60	60.30305893
61	59.83734305
62	59.33378041
63	58.88575166
64	58.39093423
65	57.62928177
66	57.36765479
67	56.78520258
68	56.4859619
69	55.94681087
70	55.68841586
71	55.38941821
72	55.01761837
73	54.88936749
74	54.66707105
75	54.57227908
76	54.46797003
77	54.13412209
78	53.63295055
79	53.20793986
80	52.85702662
81	52.4665341
82	52.08361891
83	51.86248543
84	51.57994528
85	51.28399823
86	51.08784888
87	50.75379804
88	50.36932645
89	50.27409085
90	50.02128929
91	49.73823215
92	49.52892029
93	49.02610739
94	48.69773736
95	48.29314059
96	47.85332674
97	47.57654279
98	47.33578518
99	47.27457912
100	47.13992513
101	46.87514818
102	46.6390726
103	46.38812111
104	46.15549679
105	46.04221495
106	45.78879752
107	45.55829361
108	45.32235975
109	45.04939066
110	44.87245119
111	44.57629116
112	44.42547173
113	44.17784432
114	44.09513287
115	43.96248417
116	43.8373624
117	43.68814925
118	43.35388496
119	43.19037667
120	43.08495114
121	42.9024849
122	42.46965864
123	42.30299403
124	42.13393302
125	42.01476079
126	41.82821227
127	41.71865669
128	41.5037586
129	41.42129218
130	41.36048746
131	41.24865851
132	41.10158248
133	40.98949551
134	40.90333888
135	40.55883951
136	40.45265657
137	40.40912129
138	40.23446293
139	40.13419379
140	40.08347185
141	39.90129635
142	39.81157885
143	39.69803438
144	39.64815273
145	39.55843194
146	39.47606821
147	39.29495965
148	39.27193071
149	39.22716472
150	39.20911484
151	39.13437393
152	39.11963721
153	39.10753084
154	39.03361544
155	38.86381985
156	38.65201009
157	38.58008703
158	38.45248234
159	38.44141171
160	38.41660285
161	38.28176624
162	38.23914669
163	38.02538596
164	37.87703362
165	37.41313194
166	37.29000432
167	37.15179641
168	37.08328441
169	36.95628382
170	36.91404785
171	36.86054658
172	36.76515424
173	36.61658008
174	36.51757308
175	36.45665975
176	36.33073859
177	36.25288244
178	35.87140691
179	35.74991274
180	35.65410167
181	35.53958272
182	35.42795641
183	35.32279487
184	35.22976604
185	35.18498484
186	35.12342126
187	35.03045443
188	34.89325445
189	34.82970102
190	34.79520123
191	34.69945001
192	34.64329683
193	34.52539125
194	34.46846106
195	34.33677679
196	34.1521224
197	34.07269005
198	34.02278375
199	33.95117348
200	33.86679881
201	33.78913041
202	33.72733537
203	33.53140048
204	33.44218634
205	33.36970397
206	33.31313112
207	33.2443785
208	33.18930134
209	33.14165921
210	33.06001208
211	33.0047971
212	32.94389958
213	32.91074684
214	32.86320571
215	32.7953551
216	32.70427873
217	32.67352153
218	32.60202033
219	32.51864659
220	32.45595408
221	32.41970181
222	32.35927151
223	32.30372004
224	32.11303496
225	32.02284907
226	31.93311621
227	31.86692506
228	31.78999791
229	31.748383
230	31.71906418
231	31.63792097
232	31.56228492
233	31.43285138
234	31.36468521
235	31.34370909
236	31.29936292
237	31.17505605
238	31.12249314
239	31.09358002
240	31.00411584
241	30.91806035
242	30.88316222
243	30.79752637
244	30.75822734
245	30.72403448
246	30.68615628
247	30.641534
248	30.56622385
249	30.55367268
250	30.54482087
251	30.4894527
252	30.46286403
253	30.426305
254	30.37575419
255	30.3363517
256	30.2777044
257	30.24943419
258	30.18506897
259	30.12621384
260	30.09188232
261	30.03694795
262	30.02281199
263	29.98264296
264	29.81827579
265	29.75998868
266	29.70366853
267	29.6323118
268	29.48652975
269	29.45897538
270	29.409508
271	29.37834156
272	29.31010815
273	29.19576787
274	29.12810411
275	29.08925434
276	29.06625861
277	29.05192128
278	29.03183137
279	28.99462788
280	28.9865719
281	28.95665727
282	28.92885629
283	28.90692111
284	28.856073
285	28.76573662
286	28.68521339
287	28.61505905
288	28.37902343
289	28.32872437
290	28.29708508
291	28.27469029
292	28.22976649
293	28.19712363
294	28.12503664
295	28.07338043
296	28.04861431
297	27.9620236
298	27.92202262
299	27.79786686
300	27.6966898
301	27.5652304
302	27.53449368
303	27.51658178
304	27.46673
305	27.44269747
306	27.4146691
307	27.37430565
308	27.31545158
309	27.31062372
310	27.24033635
311	27.20928012
312	27.19116409
313	27.12977329
314	27.09342681
315	27.06235924
316	27.04124981
317	26.98388781
318	26.96909434
319	26.94179757
320	26.91958688
321	26.86737943
322	26.83625996
323	26.78658549
324	26.74902838
325	26.70514814
326	26.66726135
327	26.63323054
328	26.60977476
329	26.53276486
330	26.49622414
331	26.4520585
332	26.38063856
333	26.2373711
334	26.20906246
335	26.18662994
336	26.12899645
337	26.07202955
338	26.02641028
339	25.99215311
340	25.95557741
341	25.90896634
342	25.86995798
343	25.81724069
344	25.80832722
345	25.78110317
346	25.76312819
347	25.61013829
348	25.58037867
349	25.55321089
350	25.52351457
351	25.48890386
352	25.45449969
353	25.41288813
354	25.39714559
355	25.36295149
356	25.34628934
357	25.31759125
358	25.26396273
359	25.23749358
360	25.14119777
361	25.10043241
362	25.06980511
363	25.04923595
364	25.01832084
365	24.9968178
366	24.97551226
367	24.94922317
368	24.93449197
369	24.9076847
370	24.88590223
371	24.85792765
372	24.84417518
373	24.8281245
374	24.81326808
375	24.7608033
376	24.73538532
377	24.71959862
378	24.65936072
379	24.62168985
380	24.56416437
381	24.52436662
382	24.50566888
383	24.49857068
384	24.46044005
385	24.44732351
386	24.36288758
387	24.33931938
388	24.31947866
389	24.29926178
390	24.28117535
391	24.16305324
392	24.16183477
393	24.10646364
394	24.04461306
395	23.99991951
396	23.98566837
397	23.95352639
398	23.90950688
399	23.84844668
400	23.81242981
401	23.76419495
402	23.75034794
403	23.73485212
404	23.71268299
405	23.66264953
406	23.60255313
407	23.57362066
408	23.54771112
409	23.40297175
410	23.36903816
411	23.34628427
412	23.32925281
413	23.28972863
414	23.23266341
415	23.2009383
416	23.1802012
417	23.14151884
418	23.1068578
419	23.06572613
420	23.02236245
421	22.99667699
422	22.97889484
423	22.96836424
424	22.93396971
425	22.91612948
426	22.90638083
427	22.8852144
428	22.86361464
429	22.82076719
430	22.81164563
431	22.78903318
432	22.73759195
433	22.71555943
434	22.71042693
435	22.67972589
436	22.66153486
437	22.65378865
438	22.63676876
439	22.59080171
440	22.58135745
441	22.56460987
442	22.47801955
443	22.44086928
444	22.4065685
445	22.40204867
446	22.36796635
447	22.34515272
448	22.33109584
449	22.30018594
450	22.28026444
451	22.22180286
452	22.20652086
453	22.17846439
454	22.13510065
455	22.12752739
456	22.11998428
457	22.04389482
458	22.02263329
459	21.95543881
460	21.93990837
461	21.88254571
462	21.83927504
463	21.78653881
464	21.78262387
465	21.7514305
466	21.74491336
467	21.7365869
468	21.71527821
469	21.70130654
470	21.67178003
471	21.62205726
472	21.60972527
473	21.51884221
474	21.50913455
475	21.49976974
476	21.47991743
477	21.47107466
478	21.45348073
479	21.4280549
480	21.40861234
481	21.40816902
482	21.38003557
483	21.36411329
484	21.34907377
485	21.31699281
486	21.29389904
487	21.27841386
488	21.26258331
489	21.2554068
490	21.21238911
491	21.1786328
492	21.16601015
493	21.12597882
494	21.08851641
495	21.07635511
496	21.06013899
497	21.04784985
498	21.02584826
499	21.00456596
500	21.00353773
501	20.97733003
502	20.93037289
503	20.92308415
504	20.90768801
505	20.8983657
506	20.86618256
507	20.85972251
508	20.84331224
509	20.84301672
510	20.84276725
511	20.80435284
512	20.77613431
513	20.75991068
514	20.71599566
515	20.67711263
516	20.65046956
517	20.62178246
518	20.60867178
519	20.59268483
520	20.57232634
521	20.56442547
522	20.5254653
523	20.49391266
524	20.4707718
525	20.44172162
526	20.41095731
527	20.39866859
528	20.3630536
529	20.35423973
530	20.32904678
531	20.32313402
532	20.29534325
533	20.27345021
534	20.26655826
535	20.2505437
536	20.2233359
537	20.20514399
538	20.19399191
539	20.18096122
540	20.16647795
541	20.15317588
542	20.10776296
543	20.07931934
544	20.03430326
545	19.99114832
546	19.96457846
547	19.95501161
548	19.93398115
549	19.92472407
550	19.88693547
551	19.87278851
552	19.85061627
553	19.83265832
554	19.82530233
555	19.81132134
556	19.8045821
557	19.79267738
558	19.78618285
559	19.74985172
560	19.73645866
561	19.72099142
562	19.68914977
563	19.67602387
564	19.65384027
565	19.62241668
566	19.61529077
567	19.59052582
568	19.56469007
569	19.5330016
570	19.52397469
571	19.49804723
572	19.45719136
573	19.44236054
574	19.42841534
575	19.41855877
576	19.40694703
577	19.39668375
578	19.37081256
579	19.35134776
580	19.32902433
581	19.31981513
582	19.30673725
583	19.27987968
584	19.23835539
585	19.23365842
586	19.18217514
587	19.15816305
588	19.1306346
589	19.11057566
590	19.07721026
591	19.06944225
592	19.06305143
593	19.04230832
594	19.03431246
595	19.01352606
596	19.0035422
597	18.99225519
598	18.98195477
599	18.96439835
600	18.92851588
601	18.89447565
602	18.87547453
603	18.85760251
604	18.83865506
605	18.82769357
606	18.78834411
607	18.78033574
608	18.77757035
609	18.77048692
610	18.76753534
611	18.73785867
612	18.7156785
613	18.67321218
614	18.66662941
615	18.66065764
616	18.6246167
617	18.62240754
618	18.61589166
619	18.59340331
620	18.57757248
621	18.57143059
622	18.56513469
623	18.54262692
624	18.49809972
625	18.49402109
626	18.46345792
627	18.45383271
628	18.44562926
629	18.43299405
630	18.4070193
631	18.3981154
632	18.3976278
633	18.3969117
634	18.39149843
635	18.38714812
636	18.38685513
637	18.38268619
638	18.36757271
639	18.33372029
640	18.32831063
641	18.31656756
642	18.28047849
643	18.2537209
644	18.2108217
645	18.17029498
646	18.16230869
647	18.15831087
648	18.14850841
649	18.12294941
650	18.11411002
651	18.10729598
652	18.06885657
653	18.06376365
654	18.05036414
655	17.98680745
656	17.97722514
657	17.95752784
658	17.9345485
659	17.92129649
660	17.90366193
661	17.89442299
662	17.77081166
663	17.76094471
664	17.74986969
665	17.74525506
666	17.69263393
667	17.68343661
668	17.67927394
669	17.64902105
670	17.6397506
671	17.62871414
672	17.61486046
673	17.60214821
674	17.5975074
675	17.58381876
676	17.56908501
677	17.56089338
678	17.54245097
679	17.53564901
680	17.52448587
681	17.48952301
682	17.47295775
683	17.46626507
684	17.4566907
685	17.43677153
686	17.42242443
687	17.41208122
688	17.39533747
689	17.38600584
690	17.32318003
691	17.29017985
692	17.28060438
693	17.27715334
694	17.26854213
695	17.26636005
696	17.25252657
697	17.2336974
698	17.1771553
699	17.16989291
700	17.16036851
701	17.13740398
702	17.1274769
703	17.12392734
704	17.08931547
705	17.08481697
706	17.0802075
707	17.07622597
708	17.04042125
709	17.02380191
710	17.01818267
711	17.00971577
712	16.9997528
713	16.99165258
714	16.9727878
715	16.96763134
716	16.9272174
717	16.91547981
718	16.89110876
719	16.88934856
720	16.88627495
721	16.8829112
722	16.86758982
723	16.86085882
724	16.85740619
725	16.85335191
726	16.8380491
727	16.82673158
728	16.8090348
729	16.80496183
