Alloy_or_not,Pt_or_not,Weight_ratio (wt%),Particle_size (nm),Surface_area (m2/g),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV)
0,0,36.69,15.0,128.7,2.69,14.0,80,258.0
0,1,0.35,1.0,92.85,0.0,0.5,10,32.0
0,1,31.4,5.0,485.0,4.52,0.3,20,74.0
1,0,18.14,30.0,343.3,1.22,14.0,50,395.0
0,1,9.5,5.0,109.75,4.5,14.0,10,62.0
1,0,35.39,8.9,100.06,0.0,14.0,100,180.0
0,1,0.1,0.35,28.0,0.0,0.3,50,149.0
0,1,7.2,3.76,2871.0,3.53,0.3,10,8.0
0,1,20.3,4.24,36.1,0.0,0.3,10,18.2
0,1,7.49,5.0,128.4,3.5,7.4,10,25.0
0,0,55.61,20.0,91.98,2.15,13.0,40,422.0
0,0,86.8,20.0,22.9,0.0,14.0,150,414.0
1,0,18.14,30.0,343.3,1.22,14.0,20,327.0
0,0,61.52,4.8,47.2,2.53,7.4,40,328.0
1,1,10.74,7.2,717.0,1.9,14.0,60,246.0
0,1,5.4,0.35,122.0,0.0,0.0,40,61.0
1,1,11.54,10.0,388.9,10.8,0.3,20,116.0
1,0,2.17,2.5,1.03,0.0,14.0,80,248.0
0,0,18.5,10.0,1262.0,0.0,0.3,20,552.0
1,1,1.5,0.35,744.58,4.8,0.3,10,189.0
1,0,10.0,5.0,50.66,0.0,14.0,10,74.0
1,1,6.95,2.5,2809.7,37.69,0.3,50,48.0
0,0,18.52,35.0,238.5,1.22,14.0,60,363.0
0,1,6.22,5.5,842.0,1.82,14.0,10,30.0
0,0,0.0,0.0,507.0,3.65,14.0,20,456.0
1,0,100.0,1.3,43.54,0.0,14.0,40,79.0
1,0,18.93,28.0,312.6,1.22,14.0,50,301.0
0,1,19.0,3.0,92.85,0.0,0.3,10,43.0
0,0,11.4,13.0,44.98,0.0,0.3,10,220.0
0,0,1.01,3.0,647.6,0.0,0.3,100,141.0
1,0,15.4,30.0,257.2,1.8,0.3,100,300.0
1,0,2.17,2.5,1.03,0.0,14.0,10,93.0
1,0,22.0,9.76,157.0,0.0,0.3,60,457.0
1,1,14.2,7.2,588.0,1.48,14.0,20,190.0
1,0,15.4,30.0,257.2,1.8,14.0,50,148.0
0,1,3.75,5.0,136.6,3.7,14.0,40,129.5
0,1,3.75,5.0,136.6,3.7,0.3,20,34.8
0,1,1.0,0.54,282.0,12.08,0.3,40,68.0
0,0,63.27,4.8,37.4,1.63,0.3,20,319.0
0,1,0.44,0.35,900.0,2.75,14.0,40,31.0
1,0,63.33,30.0,30.3,10.06,14.0,200,242.0
0,1,6.22,5.5,842.0,1.82,14.0,60,155.0
0,1,0.35,1.0,92.85,0.0,1.0,100,169.0
1,1,7.91,7.3,658.0,1.77,14.0,80,391.0
0,0,78.06,5.35,31.1,0.0,0.3,20,135.0
1,0,14.0,25.0,193.9,3.1,0.3,20,152.0
1,0,27.9,10.0,87.86,1.66,0.3,150,311.0
1,0,63.33,30.0,30.3,10.06,14.0,150,220.0
1,0,12.5,15.0,373.0,8.1,14.0,10,198.0
1,1,10.11,6.0,347.0,4.3,14.0,50,159.0
0,1,4.0,1.56,1135.0,12.0,0.3,40,17.0
0,0,0.0,0.0,160.63,5.0,0.3,40,755.0
1,1,6.95,2.5,2809.7,37.69,0.3,10,29.0
1,0,22.4,30.0,257.2,2.3,0.3,80,316.0
0,0,62.09,4.8,43.3,0.87,7.4,10,241.0
0,1,1.5,0.35,28.0,0.0,0.3,40,129.0
1,0,25.15,23.3,2.8,9.88,14.3,100,341.0
0,1,4.8,4.75,426.0,4.3,0.3,50,89.0
1,0,6.13,11.35,400.29,2.72,14.0,50,450.0
1,0,6.84,3.5,716.3,0.0,0.3,60,148.0
0,1,7.2,3.76,766.0,2.29,0.3,50,243.0
1,0,35.39,8.9,100.06,0.0,0.3,80,82.0
0,1,17.2,3.05,55.8,0.0,0.3,10,14.3
0,0,86.8,20.0,22.9,0.0,14.0,10,206.0
0,1,2.3,2.1,660.0,0.0,0.3,10,33.2
1,0,9.81,10.0,135.6,0.8,7.4,60,358.0
1,1,6.16,7.2,680.0,1.82,14.0,100,280.0
0,1,5.2,1.6,1349.0,0.0,0.3,100,78.0
0,0,41.57,5.35,68.8,0.0,0.3,10,104.0
1,0,20.3,10.0,712.0,0.0,7.4,20,123.0
1,0,22.4,30.0,257.2,2.3,14.0,40,185.0
0,0,1.86,10.0,970.0,0.0,14.0,10,31.0
1,0,6.84,3.5,716.3,0.0,14.0,10,23.0
1,0,6.84,3.5,716.3,0.0,0.3,20,108.0
0,0,61.52,4.8,47.2,2.53,14.0,50,264.0
0,0,63.27,4.8,37.4,1.63,7.4,40,535.0
1,0,31.48,29.6,8.7,4.34,14.5,50,303.0
1,0,45.2,30.0,184.92,3.58,0.3,20,27.5
1,0,6.84,3.5,716.3,0.0,0.3,80,161.0
1,0,23.58,13.8,8.8,10.93,14.0,80,325.0
1,0,8.74,18.0,356.0,3.4,14.0,20,497.0
0,0,7.1,6.6,268.29,0.0,0.3,10,158.0
1,0,100.0,1.3,43.54,0.0,7.4,10,31.0
1,0,2.17,2.5,1.03,0.0,0.3,60,144.0
0,1,9.5,5.0,109.75,4.5,14.0,20,97.0
0,1,2.17,4.0,604.94,0.0,14.0,10,65.0
0,0,61.52,4.8,47.2,2.53,0.3,10,165.0
0,0,60.2,4.8,78.9,1.89,7.4,10,110.0
1,0,20.3,10.0,712.0,0.0,7.4,60,370.0
0,0,38.68,3.65,43.1,0.0,0.3,40,208.8
1,0,4.43,3.5,716.3,0.0,0.3,100,116.0
1,0,2.17,2.5,1.03,0.0,0.3,40,105.0
1,0,20.3,10.0,712.0,0.0,7.4,10,49.0
1,0,40.93,20.0,94.8,5.84,0.3,10,127.8
0,0,14.55,39.1,208.9,1.34,14.0,60,289.0
1,1,6.36,7.3,702.0,1.89,14.0,40,230.0
0,0,100.0,5.35,17.3,0.0,0.3,20,197.0
1,0,63.33,30.0,30.3,10.06,14.0,40,152.0
1,0,2.9,10.27,325.61,1.15,14.0,10,330.0
1,0,20.3,10.0,712.0,0.0,14.0,50,123.0
1,0,37.0,10.0,110.3494,2.24,7.4,80,458.0
0,1,15.7,2.93,46.7,0.0,14.0,10,48.4
0,0,19.99,30.0,541.2,17.36,13.0,150,294.0
1,0,6.84,3.5,716.3,0.0,7.4,10,101.0
1,0,27.9,10.0,87.86,1.66,0.3,250,362.0
0,0,43.52,4.52,64.3,0.0,0.3,50,164.0
0,1,7.2,3.76,2871.0,3.53,7.4,40,102.0
0,1,1.5,0.35,28.0,0.0,0.3,20,90.0
1,0,35.39,8.9,100.06,0.0,0.3,250,185.0
0,1,19.0,3.0,92.85,0.0,0.3,40,95.0
0,0,62.09,4.8,43.3,0.87,0.3,60,354.0
1,0,9.81,10.0,135.6,0.8,0.3,80,170.0
1,0,12.5,15.0,373.0,8.1,14.0,40,361.0
0,0,62.09,4.8,43.3,0.87,14.0,10,206.0
0,1,1.0,0.54,282.0,12.08,0.3,50,73.0
0,1,1.0,0.54,282.0,12.08,0.3,10,47.2
0,1,4.0,1.56,1135.0,12.0,0.3,10,11.0
0,1,19.82,2.84,259.8,0.0,0.3,10,19.5
0,0,0.0,0.0,485.0,4.52,0.3,20,686.0
1,0,10.0,5.0,50.66,0.0,14.0,50,165.0
1,1,6.95,2.5,2809.7,37.69,0.3,60,50.5
0,0,18.3,30.0,257.2,1.65,0.3,40,649.0
0,1,5.7,4.3,57.8,6.0,0.3,20,25.4
1,0,35.39,8.9,100.06,0.0,14.0,50,106.0
1,0,35.39,8.9,100.06,0.0,14.0,20,51.0
0,0,86.8,20.0,22.9,0.0,14.0,200,423.0
1,0,35.39,8.9,100.06,0.0,0.3,50,63.0
0,1,5.4,0.35,122.0,0.0,0.0,20,38.0
1,0,27.9,10.0,87.86,1.66,7.4,20,458.0
1,0,37.0,10.0,110.3494,2.24,7.4,50,322.0
1,0,63.33,30.0,30.3,10.06,14.0,100,195.0
1,0,100.0,10.0,52.8,0.0,14.0,10,42.0
0,1,20.0,3.32,200.1,0.0,0.3,20,51.0
0,0,0.0,0.0,160.63,5.0,0.3,10,660.0
0,1,3.75,5.0,136.6,3.7,7.4,10,62.0
1,0,27.9,10.0,87.86,1.66,0.3,40,220.0
1,0,22.4,30.0,257.2,2.3,14.0,10,70.0
1,1,4.42,2.57,630.3,0.0,0.3,20,24.2
0,1,20.3,4.24,36.1,0.0,14.0,20,97.0
0,0,10.74,10.0,204.2,0.0,14.0,10,128.0
0,1,18.94,5.0,527.0,6.26,0.3,50,140.0
1,0,20.3,10.0,712.0,0.0,14.0,20,50.0
1,1,9.87,7.2,730.0,1.96,14.0,50,344.0
0,0,61.52,4.8,47.2,2.53,0.3,50,251.0
1,0,10.0,5.0,50.66,0.0,14.0,60,186.0
0,1,0.35,1.0,92.85,0.0,0.3,150,219.0
0,1,19.0,3.0,92.85,0.0,0.3,150,227.0
0,1,5.8,4.3,27.2,0.0,0.3,20,49.3
1,1,1.5,0.35,900.21,4.8,0.3,20,452.0
1,0,12.5,15.0,373.0,8.1,14.0,80,301.0
1,1,27.0,1.9,161.0,32.34,13.0,50,124.0
